Preschool_Name,Location_Type,Address,Opening_Hours,Preschool_Website,Stars,Average_Stars,Google_Website,Update_Time
MindChamps PreSchool @ The Brooks II,Preschool,"25 Springside Green, #01-08 The Brooks II, Singapore 786015 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/book-a-visit/,"5, 1, 5, 5, 1, 5, 5, 1, 5, 1, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5",4.2,"https://www.google.com/maps/place/MindChamps+PreSchool+@+The+Brooks+II/@1.4036771,103.8186416,17z/data=!3m1!4b1!4m6!3m5!1s0x31da133d6557a3ab:0xca70016dd61ec832!8m2!3d1.4036771!4d103.8186416!16s%2Fg%2F11fmyhz8dp?entry=ttu",2024-03-24 15:49:42.430719
MindChamps PreSchool @ Woodlands,Preschool,"11 Woodlands Cl, #1-38/39, Singapore 737853 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/location/woodlands/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4.9625,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Woodlands/@1.4343653,103.8024411,17z/data=!3m1!4b1!4m6!3m5!1s0x31da139eb79d7f93:0x1e804824210259ed!8m2!3d1.4343653!4d103.8024411!16s%2Fg%2F11ckv6srwm?entry=ttu",2024-03-24 15:50:08.517967
MindChamps Performing Arts PreSchool @ Upper Thomson Road,Kindergarten,"9 Tagore Ln, #01-08, Singapore 787472 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/location/upper-thomson/,"5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4.9523809523809526,"https://www.google.com/maps/place/MindChamps+Performing+Arts+PreSchool+@+Upper+Thomson+Road/@1.3840184,103.8260669,17z/data=!3m1!4b1!4m6!3m5!1s0x31da16b5eabd567d:0x9102f665c04add7f!8m2!3d1.3840184!4d103.8260669!16s%2Fg%2F11b7jd36lf?entry=ttu",2024-03-24 15:50:35.119289
MindChamps PreSchool @ Nordcom II,Preschool,"2 Gambas Cres, #01-26/27/40/41 Nordcom II, Singapore 757044 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/book-a-visit/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4",4.965517241379311,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Nordcom+II/@1.4429892,103.8164308,17z/data=!3m1!4b1!4m6!3m5!1s0x31da138f24ae2873:0x18dbb3f2320d61ef!8m2!3d1.4429892!4d103.8164308!16s%2Fg%2F11h1yvfqsy?entry=ttu",2024-03-24 15:51:01.391351
MindChamps PreSchool @ Yio Chu Kang,Preschool,"202 Ang Mo Kio Ave 9, #01-204, Singapore 569771 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/book-a-visit/,"5, 5, 5, 5, 4, 5, 5, 5, 1",4.444444444444445,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Yio+Chu+Kang/@1.381524,103.846743,17z/data=!3m1!4b1!4m6!3m5!1s0x31da16eae91aae9d:0xdfae408fb4674db9!8m2!3d1.381524!4d103.846743!16s%2Fg%2F11bc7q9s64?entry=ttu",2024-03-24 15:51:27.634658
MindChamps PreSchool @ Yishun,Preschool,"6 Yishun Industrial Street 1 NorthView, Bizhub, #01-09/10/11, 768090 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/yishun/,"2, 5, 4, 5, 5",4.2,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Yishun/@1.436676,103.84359,17z/data=!3m1!4b1!4m6!3m5!1s0x31da14608a5cad71:0xcfd22d6bfb3e6382!8m2!3d1.436676!4d103.84359!16s%2Fg%2F11bw46v638?entry=ttu",2024-03-24 15:51:52.482030
MindChamps PreSchool @ Junction 10,Preschool,"1 Woodlands Rd, #02-15 Junction 10, Singapore 677899 ","Sunday, 9:30am to 4pm, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, 9:30am to 4pm",https://www.mindchamps.org/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5",4.8979591836734695,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Junction+10/@1.3804112,103.7599899,17z/data=!3m1!4b1!4m6!3m5!1s0x31da11bc5ec2cd4b:0x11b18783b587487b!8m2!3d1.3804112!4d103.7599899!16s%2Fg%2F11b88hnvfh?entry=ttu",2024-03-24 15:52:17.741004
MindChamps PreSchool @ Bishan,Preschool,"18 Sin Ming Ln, #01-18 Midview City, Singapore 573960 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/book-a-visit/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5",4.8979591836734695,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Bishan/@1.3595569,103.8344894,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1725ef011a6b:0x73fff9c1e9fc1698!8m2!3d1.3595569!4d103.8344894!16s%2Fg%2F11b6v4dxhc?entry=ttu",2024-03-24 15:52:48.746138
MindChamps Reading Programme @ Woodland,Education center,"11 Woodlands Cl, #01-38/39 Woodlands 11, Singapore 737853 ","Sunday, 8am to 7:30pm, Monday, 8am to 9pm, Tuesday, 8am to 9pm, Wednesday, 8am to 9pm, Thursday, 8am to 9pm, Friday (Good Friday), 8am to 9pm, Hours might differ, Saturday, 8am to 7:30pm",https://www.mindchamps.org/mrw/reading-programme/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5",4.8979591836734695,"https://www.google.com/maps/place/MindChamps+Reading+Programme+@+Woodland/@1.434807,103.8026452,17z/data=!3m1!4b1!4m6!3m5!1s0x31da139978957a85:0x171466c3634bb7f0!8m2!3d1.434807!4d103.8026452!16s%2Fg%2F11j7dzmz2p?entry=ttu",2024-03-24 15:52:56.718624
MindChamps PreSchool @ Buangkok (Serangoon North),Preschool,"15 Serangoon North Ave 5, #02-00, Singapore 554360 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, 7am to 1pm",https://www.mindchamps.org/book-a-visit/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4.99,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Buangkok+(Serangoon+North)/@1.375952,103.8706336,17z/data=!3m1!4b1!4m6!3m5!1s0x31da165859d1db05:0x14ed871b6b757e8e!8m2!3d1.375952!4d103.8706336!16s%2Fg%2F11cjj0wf39?entry=ttu",2024-03-24 15:53:11.077199
MindChamps PreSchool @ Temasek Club,Preschool,"131 Rifle Range Rd, #03-01 Temasek Club, Singapore 588406 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, 7am to 2pm",https://www.mindchamps.org/location/temasek-club/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",5.0,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Temasek+Club/@1.3465272,103.7806957,17z/data=!3m1!4b1!4m6!3m5!1s0x31da110e06358493:0xf5c7898dd81fb1d4!8m2!3d1.3465272!4d103.7806957!16s%2Fg%2F11hhlc_w8l?entry=ttu",2024-03-24 15:53:40.002327
MindChamps PreSchool @ Serangoon,Preschool,"151 Lorong Chuan, New Tech Park, #03-06 Lobby F, 556741 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, 7am to 2pm",https://www.mindchamps.org/preschool/book-a-visit/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5",4.91,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Serangoon/@1.3526598,103.8598608,17z/data=!3m1!4b1!4m6!3m5!1s0x31da170ed7875f97:0xc5ba1c272505aab1!8m2!3d1.3526598!4d103.8598608!16s%2Fg%2F1ptytk4f0?entry=ttu",2024-03-24 15:54:05.439575
MindChamps PreSchool @ Toa Payoh,Preschool,"190 Lor 6 Toa Payoh, #03-512, Singapore 310190 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/book-a-visit/,"5, 5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4.89,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Toa+Payoh/@1.3329648,103.8486276,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1766dd2c2c25:0xcfb0d0456743adfd!8m2!3d1.3329648!4d103.8486276!16s%2Fg%2F1tfm8rg4?entry=ttu",2024-03-24 15:54:31.536944
MindChamps PreSchool @ Raffles Town Club,Kindergarten,"1 Plymouth Ave, #03-00, Singapore 297753 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, 7am to 7pm",https://www.mindchamps.org/mrw/literacy-assessment/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5",4.933333333333334,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Raffles+Town+Club/@1.3218083,103.8246898,17z/data=!3m1!4b1!4m6!3m5!1s0x31da19f92bffe85d:0xb4738ea48bae8802!8m2!3d1.3218083!4d103.8246898!16s%2Fg%2F11f2tsdhlt?entry=ttu",2024-03-24 15:54:59.832695
MindChamps PreSchool @ Punggol,Preschool,"11 Northshore Dr, Singapore 828670 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, 7am to 1pm",https://www.mindchamps.org/location/punggol-northshore/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5",4.94,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Punggol/@1.4157664,103.8992198,17z/data=!3m1!4b1!4m6!3m5!1s0x31da15ee88c7486d:0x838455223f0a5b64!8m2!3d1.4157664!4d103.8992198!16s%2Fg%2F11clr_pj89?entry=ttu",2024-03-24 15:55:25.335593
MindChamps Chinese PreSchool @ Thomson,Preschool,"512A Thomson Rd, #02-01 SLF Podium, Singapore 298137 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/book-a-visit/,"5, 5, 3, 5, 5, 5, 5, 5, 4",4.666666666666667,"https://www.google.com/maps/place/MindChamps+Chinese+PreSchool+@+Thomson/@1.3331363,103.8390793,17z/data=!3m1!4b1!4m6!3m5!1s0x31da175c62ceb55b:0x1c3a8781f6f6afd4!8m2!3d1.3331363!4d103.8390793!16s%2Fg%2F11hbnz19hs?entry=ttu",2024-03-24 15:55:59.433530
MindChamps PreSchool @ Holland Village,Preschool,"211 Holland Avenue, #04-01 Holland Road Shopping Centre, 278967 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/holland-village/,"5, 5, 3, 5, 5, 5, 5, 5, 4",4.666666666666667,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Holland+Village/@1.3101699,103.7952395,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1a6a541ec05b:0x37b334c288eade93!8m2!3d1.3101699!4d103.7952395!16s%2Fg%2F11bw77w_x1?entry=ttu",2024-03-24 15:56:27.721879
MindChamps PreSchool @ Straits View,Kindergarten,"3, Jalan Tengku Petrie, Straits View, 80200 Johor Bahru, Johor, Malaysia ","Sunday, Closed, Monday, 8am to 6pm, Tuesday, 8am to 6pm, Wednesday, 8am to 6pm, Thursday, 8am to 6pm, Friday, 8am to 6pm, Saturday, 8am to 12pm",https://my.mindchamps.org/contact-us/,"4, 5, 5",4.666666666666667,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Straits+View/@1.4610437,103.7361021,17z/data=!3m1!4b1!4m6!3m5!1s0x31cc777a28750ae1:0xd2f23ed1c92ec69a!8m2!3d1.4610437!4d103.7361021!16s%2Fg%2F11fl49bv8_?entry=ttu",2024-03-24 15:56:37.787830
MindChamps PreSchool @ JTC Summit,Preschool,"8 Jurong Town Hall Rd, #05-01 The JTC Summit, Singapore 609434 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/book-a-visit/,"4, 5, 5",4.666666666666667,"https://www.google.com/maps/place/MindChamps+PreSchool+@+JTC+Summit/@1.3312561,103.7416755,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1008b7f3b785:0xf0f5f366dc95f4f1!8m2!3d1.3312561!4d103.7416755!16s%2Fg%2F1vvyvlc1?entry=ttu",2024-03-24 15:57:19.444443
MindChamps PreSchool @ Fusionopolis,Preschool,"1 Fusionopolis Wy, #03-03 Connexis, Singapore 138632 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/location/fusionopolis/,"5, 5, 5, 5, 5, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4.8,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Fusionopolis/@1.2998458,103.7877637,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1a454fffffff:0x2a3d7781b215b787!8m2!3d1.2998458!4d103.7877637!16s%2Fg%2F1tcx4jlk?entry=ttu",2024-03-24 15:57:27.594765
MindChamps PreSchool @ Paragon,Preschool,"290 Orchard Rd, #06-19/20, Singapore 238859 ","Sunday, Closed, Monday, 7am to 7pm, Tuesday, 7am to 7pm, Wednesday, 7am to 7pm, Thursday, 7am to 7pm, Friday (Good Friday), 7am to 7pm, Hours might differ, Saturday, Closed",https://www.mindchamps.org/preschool/paragon/,"5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4.956521739130435,"https://www.google.com/maps/place/MindChamps+PreSchool+@+Paragon/@1.3037752,103.8359096,17z/data=!3m1!4b1!4m6!3m5!1s0x31da1992320efbcf:0xcf500ca000a8ae5b!8m2!3d1.3037752!4d103.8359096!16s%2Fg%2F1vwllnlz?entry=ttu",2024-03-24 15:57:53.114472
